# receptors_by_type.csv -- postsynaptic response class per (MaleCNS v1.0 type, transmitter), built by
# scripts/build_receptor_table.py from flyverse/data/expression_{ozel2021,davis2020,central,kurmangaliyev2020}.csv and the
# matching type maps (Özel 2021 GSE142787; Davis 2020 GSE116969 CC BY 4.0; Davie 2018 GSE107451; Fly Cell Atlas 2022 head;
# Kurmangaliyev 2020 GSE156455, pupal 96 h APF). Full rules and coverage: docs/audits/receptor_rules.md.
# Receptor groups: acetylcholine fast + nAChR alpha1-7/beta1-3, slow + mAChR-A (Gq) / slow - mAChR-B (Gi); gaba fast - Rdl/Lcch3/Grd,
# slow - GABA-B-R1/2/3; glutamate fast - GluClalpha, fast + KaiR1D/GluRIA/GluRIB/Nmdar1+Nmdar2, slow - mGluR; histamine fast -
# HisCl1/ort; dopamine slow + Dop1R1/Dop1R2/DopEcR, slow - Dop2R; octopamine slow + Oamb/Octbeta1-3R, slow - Octalpha2R;
# serotonin slow + 5-HT2A/2B/7, slow - 5-HT1A/1B. Group present = any member gene on (NMDA needs both Nmdar1 and Nmdar2);
# group level = sum of the on-members' levels (TPM; expm1 of the log-mean for the 10x sources); gain class = none if absent,
# else tertile (low/mid/high) of the group level among the source's neuronal profiles where the group is present (quantiles
# within source, NOT linear expression). *_pos_lead / *_neg_lead = the on-member with the largest level.
# fast_sign / slow_sign: +1 / -1 / 0 = none. *_pos_class / *_neg_class: classes of the + and - groups; *_net: sign of the
# larger class, 'mixed' if equal (then *_sign keeps the NT_SIGN prior for fast, 0 for slow), 'none' if both absent;
# *_gain_class: class of the winning group. *_abs columns: the same under the absolute rule (larger summed level, 2-fold
# margin, else mixed). fast_*_nonmda: the class rule with the glutamate fast + group restricted to KaiR1D/GluRIA/GluRIB
# (Nmdar2 is 102-1,073 TPM with P(on) = 1 in every non-photoreceptor neuronal QC-pass Davis row); identical to the plain
# columns for the other transmitters. KaiR1D = CG3822 in every source.
# tier / source / source_name / qc: the profile deciding the row. Candidates: the best row per source (best tier, QC pass
# first, then the row pooling the fewest types, then name), ranked davis2020 > ozel2021 > kurmangaliyev2020 > fca2022 >
# davie2018 at equal tier / QC; the best-ranked is the primary (primary_source / primary_tier). Selection rule (round 2):
# the primary decides unless its fast group for the transmitter is 'none' and another source has it on -- a single-
# nucleus (fca2022 / davie2018) 'none' is replaced by the best whole-cell (davis2020 / ozel2021 / kurmangaliyev2020)
# profile with the group on (fast_selection = group_on_override:<source>); any other such disagreement keeps the primary
# but falls back to NT_SIGN: fast_net = none_contested, fast_sign = the prior, fast_gain_class = none (factor 1); a
# 'none' carried by a single source falls back the same way (fast_net = none_single_source). A silencing (fast_sign 0)
# therefore needs every source profiling the type to agree and at least two of them. fast_selection_nonmda /
# source_nonmda: the same for the nonmda variant (selected separately). n_sources: candidate sources for the type.
# pool_mixed: the profile is a pooled cluster whose member types carry mixed model transmitter labels (a class prior, not
# a per-type measurement); alt_sources: the other candidates' net calls. Rows '<nt=...>' are the Davis 2020 ChAT / Gad1 /
# VGlut whole-class baselines (tier class), used only with edge_lookup(nt_class_fallback=True).
malecns_type,transmitter,fast_sign,fast_gain_class,fast_pos_class,fast_neg_class,fast_net,fast_pos_lead,fast_neg_lead,fast_sign_abs,fast_gain_class_abs,fast_net_abs,fast_sign_nonmda,fast_gain_class_nonmda,fast_pos_class_nonmda,fast_net_nonmda,fast_pos_lead_nonmda,slow_sign,slow_gain_class,slow_pos_class,slow_neg_class,slow_net,slow_pos_lead,slow_neg_lead,slow_sign_abs,slow_gain_class_abs,slow_net_abs,tier,source,source_name,qc,pool_mixed,fast_selection,fast_selection_nonmda,source_nonmda,primary_source,primary_tier,n_sources,n_cells,superclass,in_syn_W,receptor_groups,fast_pos_val,fast_neg_val,slow_pos_val,slow_neg_val,alt_sources
5-HTPMPV03,acetylcholine,1,mid,mid,none,+1,nAChRalpha6,,1,mid,+1,1,mid,mid,+1,nAChRalpha6,1,high,high,none,+1,mAChR-A,,1,high,+1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,visual_centrifugal,29978,nAChR:mid;mAChR-A:high;mAChR-B:off,28.321,0.0,1.276,0.0,
5-HTPMPV03,gaba,-1,mid,none,mid,-1,,Rdl,-1,mid,-1,-1,mid,none,-1,,-1,mid,none,mid,-1,,GABA-B-R1,-1,mid,-1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,visual_centrifugal,29978,GABA-A:mid;GABA-B:mid,0.0,16.683,0.0,2.052,
5-HTPMPV03,glutamate,-1,mid,mid,mid,mixed,GluRIB,GluClalpha,-1,mid,mixed,-1,mid,mid,mixed,GluRIB,-1,low,none,low,-1,,mGluR,-1,low,-1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,visual_centrifugal,29978,GluCl:mid;iGluR:mid;mGluR:low,1.748,2.806,0.0,0.427,
5-HTPMPV03,histamine,-1,none,none,none,none_single_source,,,-1,none,none_single_source,-1,none,none,none_single_source,,0,none,none,none,none,,,0,none,none,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,visual_centrifugal,29978,HisCl:off,0.0,0.0,0.0,0.0,
5-HTPMPV03,dopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,mid,high,-1,DopEcR,Dop2R,-1,high,-1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,visual_centrifugal,29978,Dop1R/DopEcR:mid;Dop2R:high,0.0,0.0,3.071,17.495,
5-HTPMPV03,octopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,0,mid,mid,mid,mixed,Octbeta2R,Octalpha2R,1,mid,+1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,visual_centrifugal,29978,Oamb/Octbeta:mid;Octalpha2R:mid,0.0,0.0,2.589,1.187,
5-HTPMPV03,serotonin,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,none,high,-1,,5-HT1A,-1,high,-1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,visual_centrifugal,29978,5-HT2/7:off;5-HT1:high,0.0,0.0,0.0,2.563,
5thsLNv_LNd6,acetylcholine,1,mid,mid,none,+1,nAChRalpha6,,1,mid,+1,1,mid,mid,+1,nAChRalpha6,1,low,low,none,+1,mAChR-A,,1,low,+1,class,davie2018,Clock,pass,True,primary,primary,davie2018,davie2018,class,1,4,visual_projection,6655,nAChR:mid;mAChR-A:low;mAChR-B:off,23.05,0.0,0.88,0.0,
5thsLNv_LNd6,gaba,-1,mid,none,mid,-1,,Rdl,-1,mid,-1,-1,mid,none,-1,,-1,mid,none,mid,-1,,GABA-B-R1,-1,mid,-1,class,davie2018,Clock,pass,True,primary,primary,davie2018,davie2018,class,1,4,visual_projection,6655,GABA-A:mid;GABA-B:mid,0.0,14.641,0.0,2.078,
5thsLNv_LNd6,glutamate,-1,mid,mid,mid,mixed,GluRIB,GluClalpha,-1,mid,mixed,-1,mid,mid,mixed,GluRIB,-1,low,none,low,-1,,mGluR,-1,low,-1,class,davie2018,Clock,pass,True,primary,primary,davie2018,davie2018,class,1,4,visual_projection,6655,GluCl:mid;iGluR:mid;mGluR:low,2.001,2.467,0.0,0.433,
5thsLNv_LNd6,histamine,-1,none,none,none,none_single_source,,,-1,none,none_single_source,-1,none,none,none_single_source,,0,none,none,none,none,,,0,none,none,class,davie2018,Clock,pass,True,none_single_source,none_single_source,davie2018,davie2018,class,1,4,visual_projection,6655,HisCl:off,0.0,0.0,0.0,0.0,
5thsLNv_LNd6,dopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,low,high,-1,DopEcR,Dop2R,-1,high,-1,class,davie2018,Clock,pass,True,none_single_source,none_single_source,davie2018,davie2018,class,1,4,visual_projection,6655,Dop1R/DopEcR:low;Dop2R:high,0.0,0.0,1.659,19.764,
5thsLNv_LNd6,octopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,0,low,low,low,mixed,Octbeta3R,Octalpha2R,1,low,+1,class,davie2018,Clock,pass,True,none_single_source,none_single_source,davie2018,davie2018,class,1,4,visual_projection,6655,Oamb/Octbeta:low;Octalpha2R:low,0.0,0.0,1.388,0.599,
5thsLNv_LNd6,serotonin,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,mid,none,mid,-1,,5-HT1A,-1,mid,-1,class,davie2018,Clock,pass,True,none_single_source,none_single_source,davie2018,davie2018,class,1,4,visual_projection,6655,5-HT2/7:off;5-HT1:mid,0.0,0.0,0.0,0.989,
ATL031,acetylcholine,1,high,high,none,+1,nAChRalpha6,,1,high,+1,1,high,high,+1,nAChRalpha6,1,high,high,none,+1,mAChR-A,,1,high,+1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,nAChR:high;mAChR-A:high;mAChR-B:off,98.754,0.0,1.764,0.0,"davie2018(class):fast=+1,slow=+1"
ATL031,gaba,-1,mid,none,mid,-1,,Rdl,-1,mid,-1,-1,mid,none,-1,,-1,high,none,high,-1,,GABA-B-R1,-1,high,-1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,GABA-A:mid;GABA-B:high,0.0,35.387,0.0,7.863,"davie2018(class):fast=-1,slow=-1"
ATL031,glutamate,-1,high,high,high,mixed,GluRIB,GluClalpha,-1,high,mixed,-1,high,high,mixed,GluRIB,-1,mid,none,mid,-1,,mGluR,-1,mid,-1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,GluCl:high;iGluR:high;mGluR:mid,11.774,16.752,0.0,1.679,"davie2018(class):fast=mixed,slow=-1"
ATL031,histamine,0,none,none,none,none,,,0,none,none,0,none,none,none,,0,none,none,none,none,,,0,none,none,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,HisCl:off,0.0,0.0,0.0,0.0,"davie2018(class):fast=none,slow=none"
ATL031,dopamine,0,none,none,none,none,,,0,none,none,0,none,none,none,,-1,high,mid,high,-1,DopEcR,Dop2R,0,high,mixed,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,Dop1R/DopEcR:mid;Dop2R:high,0.0,0.0,5.111,3.341,"davie2018(class):fast=none,slow=-1"
ATL031,octopamine,0,none,none,none,none,,,0,none,none,0,none,none,none,,0,mid,mid,mid,mixed,Octbeta2R,Octalpha2R,0,mid,mixed,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,Oamb/Octbeta:mid;Octalpha2R:mid,0.0,0.0,8.279,4.833,"davie2018(class):fast=none,slow=-1"
ATL031,serotonin,0,none,none,none,none,,,0,none,none,0,none,none,none,,-1,mid,none,mid,-1,,5-HT1A,-1,mid,-1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,4934,5-HT2/7:off;5-HT1:mid,0.0,0.0,0.0,1.94,"davie2018(class):fast=none,slow=-1"
ATL032,acetylcholine,1,mid,mid,none,+1,nAChRalpha6,,1,mid,+1,1,mid,mid,+1,nAChRalpha6,1,high,high,none,+1,mAChR-A,,1,high,+1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,cb_intrinsic,3241,nAChR:mid;mAChR-A:high;mAChR-B:off,28.321,0.0,1.276,0.0,
ATL032,gaba,-1,mid,none,mid,-1,,Rdl,-1,mid,-1,-1,mid,none,-1,,-1,mid,none,mid,-1,,GABA-B-R1,-1,mid,-1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,cb_intrinsic,3241,GABA-A:mid;GABA-B:mid,0.0,16.683,0.0,2.052,
ATL032,glutamate,-1,mid,mid,mid,mixed,GluRIB,GluClalpha,-1,mid,mixed,-1,mid,mid,mixed,GluRIB,-1,low,none,low,-1,,mGluR,-1,low,-1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,cb_intrinsic,3241,GluCl:mid;iGluR:mid;mGluR:low,1.748,2.806,0.0,0.427,
ATL032,histamine,-1,none,none,none,none_single_source,,,-1,none,none_single_source,-1,none,none,none_single_source,,0,none,none,none,none,,,0,none,none,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3241,HisCl:off,0.0,0.0,0.0,0.0,
ATL032,dopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,mid,high,-1,DopEcR,Dop2R,-1,high,-1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3241,Dop1R/DopEcR:mid;Dop2R:high,0.0,0.0,3.071,17.495,
ATL032,octopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,0,mid,mid,mid,mixed,Octbeta2R,Octalpha2R,1,mid,+1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3241,Oamb/Octbeta:mid;Octalpha2R:mid,0.0,0.0,2.589,1.187,
ATL032,serotonin,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,none,high,-1,,5-HT1A,-1,high,-1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3241,5-HT2/7:off;5-HT1:high,0.0,0.0,0.0,2.563,
ATL042,acetylcholine,1,mid,mid,none,+1,nAChRalpha6,,1,mid,+1,1,mid,mid,+1,nAChRalpha6,1,high,high,none,+1,mAChR-A,,1,high,+1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,cb_intrinsic,3067,nAChR:mid;mAChR-A:high;mAChR-B:off,28.321,0.0,1.276,0.0,
ATL042,gaba,-1,mid,none,mid,-1,,Rdl,-1,mid,-1,-1,mid,none,-1,,-1,mid,none,mid,-1,,GABA-B-R1,-1,mid,-1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,cb_intrinsic,3067,GABA-A:mid;GABA-B:mid,0.0,16.683,0.0,2.052,
ATL042,glutamate,-1,mid,mid,mid,mixed,GluRIB,GluClalpha,-1,mid,mixed,-1,mid,mid,mixed,GluRIB,-1,low,none,low,-1,,mGluR,-1,low,-1,class,davie2018,Serotonergic,pass,False,primary,primary,davie2018,davie2018,class,1,2,cb_intrinsic,3067,GluCl:mid;iGluR:mid;mGluR:low,1.748,2.806,0.0,0.427,
ATL042,histamine,-1,none,none,none,none_single_source,,,-1,none,none_single_source,-1,none,none,none_single_source,,0,none,none,none,none,,,0,none,none,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3067,HisCl:off,0.0,0.0,0.0,0.0,
ATL042,dopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,mid,high,-1,DopEcR,Dop2R,-1,high,-1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3067,Dop1R/DopEcR:mid;Dop2R:high,0.0,0.0,3.071,17.495,
ATL042,octopamine,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,0,mid,mid,mid,mixed,Octbeta2R,Octalpha2R,1,mid,+1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3067,Oamb/Octbeta:mid;Octalpha2R:mid,0.0,0.0,2.589,1.187,
ATL042,serotonin,0,none,none,none,none_single_source,,,0,none,none_single_source,0,none,none,none_single_source,,-1,high,none,high,-1,,5-HT1A,-1,high,-1,class,davie2018,Serotonergic,pass,False,none_single_source,none_single_source,davie2018,davie2018,class,1,2,cb_intrinsic,3067,5-HT2/7:off;5-HT1:high,0.0,0.0,0.0,2.563,
AVLP476,acetylcholine,1,high,high,none,+1,nAChRalpha6,,1,high,+1,1,high,high,+1,nAChRalpha6,1,high,high,none,+1,mAChR-A,,1,high,+1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,nAChR:high;mAChR-A:high;mAChR-B:off,98.754,0.0,1.764,0.0,"davie2018(class):fast=+1,slow=+1"
AVLP476,gaba,-1,mid,none,mid,-1,,Rdl,-1,mid,-1,-1,mid,none,-1,,-1,high,none,high,-1,,GABA-B-R1,-1,high,-1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,GABA-A:mid;GABA-B:high,0.0,35.387,0.0,7.863,"davie2018(class):fast=-1,slow=-1"
AVLP476,glutamate,-1,high,high,high,mixed,GluRIB,GluClalpha,-1,high,mixed,-1,high,high,mixed,GluRIB,-1,mid,none,mid,-1,,mGluR,-1,mid,-1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,GluCl:high;iGluR:high;mGluR:mid,11.774,16.752,0.0,1.679,"davie2018(class):fast=mixed,slow=-1"
AVLP476,histamine,0,none,none,none,none,,,0,none,none,0,none,none,none,,0,none,none,none,none,,,0,none,none,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,HisCl:off,0.0,0.0,0.0,0.0,"davie2018(class):fast=none,slow=none"
AVLP476,dopamine,0,none,none,none,none,,,0,none,none,0,none,none,none,,-1,high,mid,high,-1,DopEcR,Dop2R,0,high,mixed,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,Dop1R/DopEcR:mid;Dop2R:high,0.0,0.0,5.111,3.341,"davie2018(class):fast=none,slow=-1"
AVLP476,octopamine,0,none,none,none,none,,,0,none,none,0,none,none,none,,0,mid,mid,mid,mixed,Octbeta2R,Octalpha2R,0,mid,mixed,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,Oamb/Octbeta:mid;Octalpha2R:mid,0.0,0.0,8.279,4.833,"davie2018(class):fast=none,slow=-1"
AVLP476,serotonin,0,none,none,none,none,,,0,none,none,0,none,none,none,,-1,mid,none,mid,-1,,5-HT1A,-1,mid,-1,class,fca2022,dopaminergic neuron,pass,False,primary,primary,fca2022,fca2022,class,2,2,cb_intrinsic,14226,5-HT2/7:off;5-HT1:mid,0.0,0.0,0.0,1.94,"davie2018(class):fast=none,slow=-1"
