# Type map: Nern et al. 2025 optic-lobe inventory -> MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# Source: Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0); Supplementary Tables 1, 5, 7 (MOESM4 zip), hashes in docs/audits/receptor_sources_nern2025.md.
# tier: exact = identical type name in both inventories; class = MaleCNS '<prefix>_unclear' bin whose Nern subtypes all carry one prediction;
#       unmatched = MaleCNS optic-lobe-superclass type with no Nern counterpart (evidence says why). No alias / fuzzy rows were needed: all 732 Nern names are MaleCNS names.
# nern_nt: Sup_Table_1 'predicted neurotransmitter' (EM synapse classifier trained on 59 optic-lobe types; 'unclear' = low confidence, not independently confirmed).
# fw_nt: Sup_Table_7 FlyWire prediction for the matched FlyWire type (Eckstein et al. 2024 classifier, female brain). validated_*: Sup_Table_5 experimental transmitter
#       (FISH / bulk RNA-seq / antibody); validated_in_training = yes means the type was classifier ground truth, so it is not an independent check of nern_nt.
# malecns_*: from cache/neurons.parquet (model nt after the AL-LN override; mode over the type's cells, share of cells with that mode, cells with nt = unknown);
# out_syn_W = sum |c.W| over the type's output edges (sign-0 edges are zero); out_syn_raw = uncapped MaleCNS synapse count on the model's node set.
# NT vocabulary: acetylcholine gaba glutamate histamine dopamine octopamine serotonin unclear; 'a+b' = source lists two.
source_name,malecns_type,tier,evidence,n_cells_malecns,nern_main_group,nern_n_cells_R,nern_n_cells_L,nern_nt,fw_nt,t7_matched_as,validated_nt,validated_method,validated_reference,validated_in_training,malecns_superclass,malecns_nt,malecns_nt_share,malecns_n_unknown_nt,out_syn_W,out_syn_raw
aMe8,aMe8,exact,"identical name; Sup_Table_1 row 14 (instance aMe8_R, 2 cells, VPN)",4,VPN,2,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,unknown,0.75,3,0,7238.0
aMe9,aMe9,exact,"identical name; Sup_Table_1 row 15 (instance aMe9_R, 2 cells, VPN)",4,VPN,2,2,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,10246,10246.0
aMe10,aMe10,exact,"identical name; Sup_Table_1 row 16 (instance aMe10_R, 2 cells, VPN)",3,VPN,2,1,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,4074,4074.0
aMe12,aMe12,exact,"identical name; Sup_Table_1 row 17 (instance aMe12_R, 2 cells, VPN)",6,VPN,2,4,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,13528,13528.0
aMe13,aMe13,exact,"identical name; Sup_Table_1 row 18 (instance aMe13_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,cb_intrinsic,acetylcholine,1.0,0,3506,3506.0
aMe15,aMe15,exact,"identical name; Sup_Table_1 row 19 (instance aMe15_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,cb_intrinsic,acetylcholine,1.0,0,5645,5645.0
aMe17a,aMe17a,exact,"identical name; Sup_Table_1 row 20 (instance aMe17a_R, 1 cells, VCN)",2,VCN,1,0,glutamate,unclear,1-to-1,,,,,visual_centrifugal,serotonin,1.0,0,0,20900.0
aMe17b,aMe17b,exact,"identical name; Sup_Table_1 row 21 (instance aMe17b_R, 2 cells, VCN)",5,VCN,2,0,gaba,gaba,1-to-1,,,,,visual_centrifugal,gaba,1.0,0,18906,18906.0
aMe17c,aMe17c,exact,"identical name; Sup_Table_1 row 22 (instance aMe17c_R, 2 cells, VCN)",4,VCN,2,0,glutamate,gaba,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,57872,57872.0
aMe17e,aMe17e,exact,"identical name; Sup_Table_1 row 23 (instance aMe17e_R, 1 cells, VCN)",2,VCN,1,0,glutamate,glutamate,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,27293,27293.0
aMe20,aMe20,exact,"identical name; Sup_Table_1 row 24 (instance aMe20_R, 1 cells, VPN)",2,VPN,1,0,unclear,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,8046,8046.0
aMe22,aMe22,exact,"identical name; Sup_Table_1 row 25 (instance aMe22_R, 1 cells, VCN)",2,VCN,1,0,glutamate,glutamate,1-to-1,,,,,cb_intrinsic,glutamate,1.0,0,4332,4332.0
aMe23,aMe23,exact,"identical name; Sup_Table_1 row 26 (instance aMe23_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,cb_intrinsic,glutamate,1.0,0,2584,2584.0
aMe24,aMe24,exact,"identical name; Sup_Table_1 row 27 (instance aMe24_R, 1 cells, other)",2,other,1,0,unclear,glutamate,1-to-1,,,,,cb_intrinsic,glutamate,1.0,0,5291,5291.0
aMe25,aMe25,exact,"identical name; Sup_Table_1 row 28 (instance aMe25_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,3362,3362.0
aMe26,aMe26,exact,"identical name; Sup_Table_1 row 29 (instance aMe26_R, 3 cells, VPN)",6,VPN,3,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,16315,16315.0
aMe30,aMe30,exact,"identical name; Sup_Table_1 row 30 (instance aMe30_R, 2 cells, VCN)",5,VCN,2,0,glutamate,glutamate,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,11475,11475.0
AN09A005,AN09A005,exact,"identical name; Sup_Table_1 row 31 (instance AN09A005_R, 2 cells, other)",11,other,2,2,unclear,serotonin,1-to-many,,,,,ascending_neuron,serotonin,1.0,0,0,4874.0
AN27X013,AN27X013,exact,"identical name; Sup_Table_1 row 32 (instance AN27X013_R, 2 cells, other)",4,other,2,2,unclear,serotonin,1-to-many,,,,,ascending_neuron,serotonin,1.0,0,0,3152.0
AOTU045,AOTU045,exact,"identical name; Sup_Table_1 row 33 (instance AOTU045_R, 1 cells, VPN)",2,VPN,1,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,5059,5059.0
AOTU056,AOTU056,exact,"identical name; Sup_Table_1 row 34 (instance AOTU056_R, 5 cells, other)",8,other,5,0,unclear,gaba,1-to-1,,,,,cb_intrinsic,gaba,1.0,0,4234,4234.0
AOTU058,AOTU058,exact,"identical name; Sup_Table_1 row 35 (instance AOTU058_R, 2 cells, other)",8,other,2,0,unclear,gaba,1-to-1,,,,,cb_intrinsic,gaba,1.0,0,4142,4142.0
C2,C2,exact,"identical name; Sup_Table_1 row 36 (instance C2_R, 874 cells, ONCN)",1745,ONCN,874,0,gaba,gaba,1-to-1,gaba,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,gaba,1.0,0,230044,230044.0
C3,C3,exact,"identical name; Sup_Table_1 row 37 (instance C3_R, 892 cells, ONCN)",1779,ONCN,892,0,gaba,gaba,1-to-1,gaba,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,gaba,1.0,0,539977,539977.0
CL125,CL125,exact,"identical name; Sup_Table_1 row 38 (instance CL125_R, 2 cells, VPN)",4,VPN,2,0,unclear,glutamate,1-to-1,,,,,visual_projection,glutamate,1.0,0,2531,2531.0
Cm-DRA,Cm-DRA,exact,"identical name; Sup_Table_1 row 39 (instance Cm-DRA_R, 3 cells, ONIN)",7,ONIN,3,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,7598,7598.0
Cm1,Cm1,exact,"identical name; Sup_Table_1 row 40 (instance Cm1_R, 231 cells, ONIN)",472,ONIN,231,0,acetylcholine,acetylcholine,1-to-1,acetylcholine,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,acetylcholine,1.0,0,77882,77882.0
Cm2,Cm2,exact,"identical name; Sup_Table_1 row 41 (instance Cm2_R, 203 cells, ONIN)",383,ONIN,203,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,63301,63301.0
Cm3,Cm3,exact,"identical name; Sup_Table_1 row 42 (instance Cm3_R, 167 cells, ONIN)",323,ONIN,167,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,151626,151626.0
Cm4,Cm4,exact,"identical name; Sup_Table_1 row 43 (instance Cm4_R, 126 cells, ONIN)",251,ONIN,126,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,37227,37227.0
Cm5,Cm5,exact,"identical name; Sup_Table_1 row 44 (instance Cm5_R, 109 cells, ONIN)",214,ONIN,109,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,84897,84897.0
Cm6,Cm6,exact,"identical name; Sup_Table_1 row 45 (instance Cm6_R, 106 cells, ONIN)",211,ONIN,106,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,50509,50509.0
Cm7,Cm7,exact,"identical name; Sup_Table_1 row 46 (instance Cm7_R, 93 cells, ONIN)",184,ONIN,93,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,102864,102864.0
Cm8,Cm8,exact,"identical name; Sup_Table_1 row 47 (instance Cm8_R, 90 cells, ONIN)",182,ONIN,90,0,gaba,gaba,1-to-2,,,,,ol_intrinsic,gaba,1.0,0,70336,70336.0
Cm9,Cm9,exact,"identical name; Sup_Table_1 row 48 (instance Cm9_R, 73 cells, ONIN)",143,ONIN,73,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,85217,85217.0
Cm10,Cm10,exact,"identical name; Sup_Table_1 row 49 (instance Cm10_R, 45 cells, ONIN)",89,ONIN,45,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,38616,38616.0
Cm11a,Cm11a,exact,"identical name; Sup_Table_1 row 50 (instance Cm11a_R, 40 cells, ONIN)",75,ONIN,40,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,64444,64444.0
Cm11b,Cm11b,exact,"identical name; Sup_Table_1 row 51 (instance Cm11b_R, 30 cells, ONIN)",56,ONIN,30,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,84923,84923.0
Cm11c,Cm11c,exact,"identical name; Sup_Table_1 row 52 (instance Cm11c_R, 23 cells, ONIN)",44,ONIN,23,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,38072,38072.0
Cm11d,Cm11d,exact,"identical name; Sup_Table_1 row 53 (instance Cm11d_R, 9 cells, ONIN)",18,ONIN,9,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,29910,29910.0
Cm12,Cm12,exact,"identical name; Sup_Table_1 row 54 (instance Cm12_R, 35 cells, ONIN)",70,ONIN,35,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,36895,36895.0
Cm13,Cm13,exact,"identical name; Sup_Table_1 row 55 (instance Cm13_R, 27 cells, ONIN)",52,ONIN,27,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,35539,35539.0
Cm14,Cm14,exact,"identical name; Sup_Table_1 row 56 (instance Cm14_R, 23 cells, ONIN)",48,ONIN,23,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,26842,26842.0
Cm15,Cm15,exact,"identical name; Sup_Table_1 row 57 (instance Cm15_R, 22 cells, ONIN)",47,ONIN,22,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,18548,18548.0
Cm16,Cm16,exact,"identical name; Sup_Table_1 row 58 (instance Cm16_R, 17 cells, ONIN)",38,ONIN,17,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,10113,10113.0
Cm17,Cm17,exact,"identical name; Sup_Table_1 row 59 (instance Cm17_R, 16 cells, ONIN)",31,ONIN,16,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,34701,34701.0
Cm18,Cm18,exact,"identical name; Sup_Table_1 row 60 (instance Cm18_R, 14 cells, ONIN)",28,ONIN,14,0,glutamate,,unmatched,,,,,ol_intrinsic,glutamate,1.0,0,4167,4167.0
Cm19,Cm19,exact,"identical name; Sup_Table_1 row 61 (instance Cm19_R, 14 cells, ONIN)",30,ONIN,14,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,42464,42464.0
Cm20,Cm20,exact,"identical name; Sup_Table_1 row 62 (instance Cm20_R, 13 cells, ONIN)",26,ONIN,13,0,gaba,gaba,2-to-1,,,,,ol_intrinsic,gaba,1.0,0,18318,18318.0
Cm21,Cm21,exact,"identical name; Sup_Table_1 row 63 (instance Cm21_R, 13 cells, ONIN)",25,ONIN,13,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,37721,37721.0
Cm22,Cm22,exact,"identical name; Sup_Table_1 row 64 (instance Cm22_R, 10 cells, ONIN)",19,ONIN,10,0,gaba,gaba,2-to-1,,,,,ol_intrinsic,gaba,1.0,0,7647,7647.0
Cm23,Cm23,exact,"identical name; Sup_Table_1 row 65 (instance Cm23_R, 8 cells, ONIN)",17,ONIN,8,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,14318,14318.0
Cm24,Cm24,exact,"identical name; Sup_Table_1 row 66 (instance Cm24_R, 5 cells, ONIN)",11,ONIN,5,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,10383,10383.0
Cm25,Cm25,exact,"identical name; Sup_Table_1 row 67 (instance Cm25_R, 3 cells, ONIN)",7,ONIN,3,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,8749,8749.0
Cm26,Cm26,exact,"identical name; Sup_Table_1 row 68 (instance Cm26_R, 6 cells, ONIN)",13,ONIN,6,0,glutamate,,unmatched,,,,,ol_intrinsic,glutamate,1.0,0,22696,22696.0
Cm27,Cm27,exact,"identical name; Sup_Table_1 row 69 (instance Cm27_R, 5 cells, ONIN)",9,ONIN,5,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,5633,5633.0
Cm28,Cm28,exact,"identical name; Sup_Table_1 row 70 (instance Cm28_R, 6 cells, ONIN)",12,ONIN,6,0,unclear,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,12332,12332.0
Cm29,Cm29,exact,"identical name; Sup_Table_1 row 71 (instance Cm29_R, 3 cells, ONIN)",6,ONIN,3,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,30644,30644.0
Cm30,Cm30,exact,"identical name; Sup_Table_1 row 72 (instance Cm30_R, 2 cells, ONIN)",4,ONIN,2,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,15991,15991.0
Cm31a,Cm31a,exact,"identical name; Sup_Table_1 row 73 (instance Cm31a_R, 2 cells, ONIN)",4,ONIN,2,0,gaba,gaba,1-to-1,gaba,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,gaba,1.0,0,47263,47263.0
Cm31b,Cm31b,exact,"identical name; Sup_Table_1 row 74 (instance Cm31b_R, 1 cells, ONIN)",2,ONIN,1,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,33192,33192.0
Cm32,Cm32,exact,"identical name; Sup_Table_1 row 75 (instance Cm32_R, 1 cells, ONIN)",2,ONIN,1,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,5427,5427.0
Cm33,Cm33,exact,"identical name; Sup_Table_1 row 76 (instance Cm33_R, 1 cells, ONIN)",2,ONIN,1,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,6259,6259.0
Cm34,Cm34,exact,"identical name; Sup_Table_1 row 77 (instance Cm34_R, 1 cells, ONIN)",2,ONIN,1,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,57627,57627.0
Cm35,Cm35,exact,"identical name; Sup_Table_1 row 78 (instance Cm35_R, 1 cells, ONIN)",2,ONIN,1,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,13190,13190.0
dCal1,dCal1,exact,"identical name; Sup_Table_1 row 79 (instance dCal1_R, 1 cells, VPN)",2,VPN,1,1,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,8532,8532.0
Dm-DRA1,Dm-DRA1,exact,"identical name; Sup_Table_1 row 80 (instance Dm-DRA1_R, 26 cells, ONIN)",50,ONIN,26,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,24103,24103.0
Dm-DRA2,Dm-DRA2,exact,"identical name; Sup_Table_1 row 81 (instance Dm-DRA2_R, 18 cells, ONIN)",33,ONIN,18,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,7110,7110.0
Dm1,Dm1,exact,"identical name; Sup_Table_1 row 82 (instance Dm1_R, 39 cells, ONIN)",80,ONIN,39,0,glutamate,gaba,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,156748,156748.0
Dm2,Dm2,exact,"identical name; Sup_Table_1 row 83 (instance Dm2_R, 726 cells, ONIN)",1452,ONIN,726,0,acetylcholine,acetylcholine,1-to-1,,,,,ol_intrinsic,acetylcholine,1.0,0,449192,449192.0
Dm3a,Dm3a,exact,"identical name; Sup_Table_1 row 84 (instance Dm3a_R, 601 cells, ONIN)",1204,ONIN,601,0,glutamate,glutamate,1-to-1,glutamate,RNASeq (TAPIN),Davis et al 2020,no,ol_intrinsic,glutamate,1.0,0,106540,106540.0
Dm3b,Dm3b,exact,"identical name; Sup_Table_1 row 85 (instance Dm3b_R, 571 cells, ONIN)",1137,ONIN,571,0,glutamate,glutamate,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,no,ol_intrinsic,glutamate,1.0,0,99438,99438.0
Dm3c,Dm3c,exact,"identical name; Sup_Table_1 row 86 (instance Dm3c_R, 401 cells, ONIN)",787,ONIN,401,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,91388,91388.0
Dm4,Dm4,exact,"identical name; Sup_Table_1 row 87 (instance Dm4_R, 48 cells, ONIN)",99,ONIN,48,0,glutamate,glutamate,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,129535,129535.0
Dm6,Dm6,exact,"identical name; Sup_Table_1 row 88 (instance Dm6_R, 29 cells, ONIN)",62,ONIN,29,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,147144,147144.0
Dm8a,Dm8a,exact,"identical name; Sup_Table_1 row 89 (instance Dm8a_R, 285 cells, ONIN)",572,ONIN,285,0,glutamate,glutamate,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,no,ol_intrinsic,glutamate,1.0,0,162710,162710.0
Dm8b,Dm8b,exact,"identical name; Sup_Table_1 row 90 (instance Dm8b_R, 265 cells, ONIN)",532,ONIN,265,0,glutamate,glutamate,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,no,ol_intrinsic,glutamate,1.0,0,114276,114276.0
Dm9,Dm9,exact,"identical name; Sup_Table_1 row 91 (instance Dm9_R, 135 cells, ONIN)",273,ONIN,135,0,glutamate,acetylcholine,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,247828,247828.0
Dm10,Dm10,exact,"identical name; Sup_Table_1 row 92 (instance Dm10_R, 311 cells, ONIN)",626,ONIN,311,0,gaba,gaba,1-to-1,gaba,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,gaba,1.0,0,141680,141680.0
Dm11,Dm11,exact,"identical name; Sup_Table_1 row 93 (instance Dm11_R, 82 cells, ONIN)",158,ONIN,82,0,glutamate,glutamate,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,46109,46109.0
Dm12,Dm12,exact,"identical name; Sup_Table_1 row 94 (instance Dm12_R, 137 cells, ONIN)",276,ONIN,137,0,glutamate,gaba,1-to-1,glutamate,"RNASeq (bulk, TAPIN)",Davis et al 2020,yes,ol_intrinsic,glutamate,1.0,0,233792,233792.0
Dm13,Dm13,exact,"identical name; Sup_Table_1 row 95 (instance Dm13_R, 28 cells, ONIN)",53,ONIN,28,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,115286,115286.0
Dm14,Dm14,exact,"identical name; Sup_Table_1 row 96 (instance Dm14_R, 16 cells, ONIN)",34,ONIN,16,0,glutamate,glutamate,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,75680,75680.0
Dm15,Dm15,exact,"identical name; Sup_Table_1 row 97 (instance Dm15_R, 242 cells, ONIN)",485,ONIN,242,0,glutamate,glutamate,1-to-1,glutamate,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,glutamate,1.0,0,180554,180554.0
Dm16,Dm16,exact,"identical name; Sup_Table_1 row 98 (instance Dm16_R, 75 cells, ONIN)",151,ONIN,75,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,59635,59635.0
Dm17,Dm17,exact,"identical name; Sup_Table_1 row 99 (instance Dm17_R, 4 cells, ONIN)",8,ONIN,4,0,glutamate,glutamate,1-to-1,glutamate,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,glutamate,1.0,0,104773,104773.0
Dm18,Dm18,exact,"identical name; Sup_Table_1 row 100 (instance Dm18_R, 27 cells, ONIN)",58,ONIN,27,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,82244,82244.0
Dm19,Dm19,exact,"identical name; Sup_Table_1 row 101 (instance Dm19_R, 15 cells, ONIN)",30,ONIN,15,0,glutamate,gaba,1-to-1,glutamate,EASI-FISH (Eddison et al),This study,no,ol_intrinsic,glutamate,1.0,0,110556,110556.0
Dm20,Dm20,exact,"identical name; Sup_Table_1 row 102 (instance Dm20_R, 48 cells, ONIN)",98,ONIN,48,0,glutamate,gaba,1-to-1,,,,,ol_intrinsic,glutamate,1.0,0,132200,132200.0
DN1a,DN1a,exact,"identical name; Sup_Table_1 row 103 (instance DN1a_R, 2 cells, VCN)",4,VCN,2,0,unclear,glutamate,1-to-1,,,,,cb_intrinsic,glutamate,1.0,0,4714,4714.0
DNc01,DNc01,exact,"identical name; Sup_Table_1 row 104 (instance DNc01_R, 1 cells, other)",2,other,1,1,unclear,dopamine,1-to-1,,,,,descending_neuron,unknown,1.0,2,0,6375.0
DNp11,DNp11,exact,"identical name; Sup_Table_1 row 105 (instance DNp11_R, 1 cells, other)",2,other,1,0,unclear,acetylcholine,1-to-1,,,,,descending_neuron,acetylcholine,1.0,0,12886,12886.0
