# Kurmangaliyev, Yoo, Valdes-Aleman, Sanfilippo & Zipursky 2020 Neuron 108:1045-1057 (doi:10.1016/j.neuron.2020.10.006),
# pupal optic-lobe scRNA-seq clusters (GEO GSE156455, metadata_main `type` / `subtype` columns) -> MaleCNS v1.0 cell types
# (cache/neurons.parquet). Built by scripts/build_kurmangaliyev2020_tables.py; provenance and coverage in
# docs/audits/receptor_sources_profiles.md. Cluster unit = `subtype` (196 labels) + the parent pools T4.T5 / Dm3 / Tm9.
# tier: exact = author annotation is the MaleCNS type name; alias = documented renaming (R1.6 -> R1-R6, Lpi3.4 -> LPi34);
# fuzzy = name collision / bridge not verifiable (Tm29, Pm3); class = cluster pools several MaleCNS types or subdivides one;
# unmatched = no evidenced MaleCNS type (N## unannotated neurons, G## glia, C## central brain, R184).
# n_cells_source = cells of the cluster in the main dataset (all timepoints 24-96 h APF); n_cells_malecns = cells of the type in MaleCNS.
source_name,malecns_type,tier,evidence,n_cells_malecns,source_cluster,n_cells_source,malecns_superclass,malecns_nt
Dm3b,Dm3b,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; as Dm3a: letter not transferable, mapped to the Dm3 family",1137,Dm3b,2835,ol_intrinsic,glutamate
Dm3b,Dm3c,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; as Dm3a: letter not transferable, mapped to the Dm3 family",787,Dm3b,2835,ol_intrinsic,glutamate
Dm4,Dm4,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",99,Dm4,120,ol_intrinsic,glutamate
Dm8,Dm8a,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); MaleCNS splits Dm8 into Dm8a (FlyWire yDm8) and Dm8b (pDm8) by connectivity (Nern 2025); the cluster contains both",572,Dm8,1800,ol_intrinsic,glutamate
Dm8,Dm8b,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); MaleCNS splits Dm8 into Dm8a (FlyWire yDm8) and Dm8b (pDm8) by connectivity (Nern 2025); the cluster contains both",532,Dm8,1800,ol_intrinsic,glutamate
Dm9,Dm9,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",273,Dm9,381,ol_intrinsic,glutamate
L1,L1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1776,L1,2375,ol_intrinsic,glutamate
L2,L2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1779,L2,2641,ol_intrinsic,acetylcholine
L3,L3,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1772,L3,1820,ol_intrinsic,acetylcholine
L4,L4,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1769,L4,1808,ol_intrinsic,acetylcholine
L5,L5,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1787,L5,2273,ol_intrinsic,acetylcholine
LC10a,LC10a,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",275,LC10a,578,visual_projection,acetylcholine
LC10b,LC10b,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); Davis 2020 driver-defined type; MaleCNS LC10b 95 cells",95,LC10b,221,visual_projection,acetylcholine
LC4,LC4,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",126,LC4,177,visual_projection,acetylcholine
LC6,LC6,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",124,LC6,307,visual_projection,acetylcholine
LLPC1,LLPC1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",285,LLPC1,711,visual_projection,acetylcholine
LPC1,LPC1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",224,LPC1,119,visual_projection,acetylcholine
LPLC1,LPLC1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",134,LPLC1,107,visual_projection,acetylcholine
LPLC2,LPLC2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",185,LPLC2,160,visual_projection,acetylcholine
Lai,Lai,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); Nern 2025 Sup_Table_7: many OL Lai fragmented (48 counted there; 84 typed in MaleCNS)",84,Lai,551,ol_intrinsic,glutamate
Lawf1,Lawf1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",361,Lawf1,649,ol_intrinsic,acetylcholine
Lawf2,Lawf2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",383,Lawf2,644,ol_intrinsic,acetylcholine
Lpi3.4,LPi34,alias,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); 'Lpi3.4' = LPi3-4 of Mauss et al. 2015 (lobula-plate intrinsic, layer 3 -> 4); Nern 2025 dropped the hyphen (LPi34 = Matsliah LPi09 / Schlegel CB3857, Sup_Table_7); same bridge as the Davis 2020 'LPi-34' alias row",119,Lpi3.4,351,ol_intrinsic,glutamate
Mi1,Mi1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1773,Mi1,2281,ol_intrinsic,acetylcholine
Mi15,Mi15,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1151,Mi15,2243,ol_intrinsic,acetylcholine
Mi4,Mi4,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1772,Mi4,2842,ol_intrinsic,gaba
Mi9,Mi9,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1775,Mi9,3071,ol_intrinsic,glutamate
Pm3,Pm3,fuzzy,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); name bridge unverified: Nern 2025 Sup_Table_7 Pm3 = Schlegel CB3856 / Matsliah Pm09 (no FlyWire 'Pm3', hemibrain_type None); the Erclik 2017 / Konstantinides 2018 'Pm3' marker definition is assumed to be the type Nern 2025 kept the name for; Ozel 2021 matched the same bulk transcriptome only weakly (cluster 151)",69,Pm3,424,ol_intrinsic,gaba
Pm4,Pm4,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); name bridge: Nern 2025 Sup_Table_7 Pm4 = Schlegel Pm4 / Matsliah Pm05 (hemibrain_type None)",168,Pm4,327,ol_intrinsic,gaba
R1.6,R1-R6,alias,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); 'R1.6' is the outer photoreceptors R1-R6 (metadata class R); MaleCNS type 'R1-R6' (flywireType R1-6)",3377,R1.6,2627,ol_sensory,histamine
R7.8,R7R8_unclear,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",85,R7.8,1222,ol_sensory,histamine
R7.8,R7_unclear,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",404,R7.8,1222,ol_sensory,histamine
R7.8,R7d,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",82,R7.8,1222,ol_sensory,histamine
R7.8,R7p,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",332,R7.8,1222,ol_sensory,histamine
R7.8,R7y,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",482,R7.8,1222,ol_sensory,histamine
R7.8,R8_unclear,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",442,R7.8,1222,ol_sensory,histamine
R7.8,R8d,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",76,R7.8,1222,ol_sensory,histamine
R7.8,R8p,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",330,R7.8,1222,ol_sensory,histamine
R7.8,R8y,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); inner photoreceptors R7 + R8 pooled (class R); MaleCNS splits them into pale / yellow / DRA / unclear types",481,R7.8,1222,ol_sensory,histamine
T1,T1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1777,T1,1774,ol_intrinsic,histamine
T2,T2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1630,T2,2685,ol_intrinsic,acetylcholine
T2a,T2a,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1872,T2a,2015,ol_intrinsic,acetylcholine
T3,T3,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1940,T3,2302,ol_intrinsic,acetylcholine
T4a,T4a,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1684,T4a,2679,ol_intrinsic,acetylcholine
T4b,T4b,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1690,T4b,2180,ol_intrinsic,acetylcholine
T4c,T4c,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1778,T4c,1727,ol_intrinsic,acetylcholine
T4d,T4d,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1709,T4d,2731,ol_intrinsic,acetylcholine
T5a,T5a,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1664,T5a,2177,ol_intrinsic,acetylcholine
T5b,T5b,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1715,T5b,2295,ol_intrinsic,acetylcholine
T5c,T5c,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1720,T5c,2408,ol_intrinsic,acetylcholine
T5d,T5d,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; T4/T5 subtype clusters; README 11/02/20: 'Labels for T4c and T4d subtype clusters were swapped (T4c <-> T4d)' -- the corrected metadata_main.tsv.gz (2020-11-04) is used",1620,T5d,2108,ol_intrinsic,acetylcholine
Tm1,Tm1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1777,Tm1,2228,ol_intrinsic,acetylcholine
Tm2,Tm2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1766,Tm2,2602,ol_intrinsic,acetylcholine
Tm20,Tm20,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1762,Tm20,2839,ol_intrinsic,acetylcholine
Tm29,Tm29,fuzzy,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); NAME COLLISION (receptor_verification.md, ozel2021 correction): MaleCNS Tm29 = FlyWire Tm5d (Matsliah) / CB3851 (Schlegel; also lumps Tm39 / Tm40), no hemibrain name; whether the 2018-2020 'Tm29' driver / marker definition labels Nern-2025 Tm29 is not evidenced; transmitter Glu agrees on both sides (weak support)",544,Tm29,1082,ol_intrinsic,glutamate
Tm3,Tm3,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",2054,Tm3,3338,ol_intrinsic,acetylcholine
Tm4,Tm4,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1670,Tm4,2593,ol_intrinsic,acetylcholine
Tm5c,Tm5c,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",750,Tm5c,1400,ol_intrinsic,glutamate
Tm9a,Tm9,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; subdivision of Tm9 (MaleCNS has one Tm9 type; the a / b split is not assigned to dorsal / ventral here)",1771,Tm9a,1765,ol_intrinsic,acetylcholine
