# nt_by_type_transcriptome.csv -- transmitter identity per MaleCNS v1.0 type from synthesis / transport genes, built by
# scripts/build_receptor_table.py from the per-source tables in flyverse/data/ (Özel 2021 GSE142787; Davis 2020 GSE116969;
# Davie 2018 GSE107451; Fly Cell Atlas 2022 head; Nern 2025 Sup. Table 1) and cache/neurons.parquet. Rules and thresholds:
# docs/audits/receptor_rules.md section 2; disagreements: docs/audits/receptor_nt_disagreements.md.
# nt_transcriptome: acetylcholine = ChAT|VAChT on; gaba = Gad1 on (VGAT unused: 60-586 TPM with P(on) = 1 in every non-photoreceptor
# neuronal QC-pass Davis row); glutamate = VGlut;
# histamine = Hdc; dopamine = ple&DAT; octopamine = Tdc2&Tbh; serotonin = Trh&SerT ('on' = source mixture-model P(on) >= 0.5
# [ozel2021], P(on) >= 0.5 & TPM >= 10 [davis2020], fraction of cells >= 0.2 [davie2018 / fca2022 / kurmangaliyev2020 96 h APF]);
# primary = highest classical
# marker level (expm1-linearised for the 10x sources), monoamines only when no classical marker is on; majority over sources
# (circular NT-class selections excluded; mixed pools never outvote per-type rows); none = no marker on.
# confidence: high = exact/alias tier and >= 2 sources agree; medium = exact/alias single source or >= 2 fuzzy/class; low = single
# fuzzy/class, suboptimal driver, mixed pool (pool_mixed: member types' majority model label < 90 % of pool cells; pool_labels
# lists them), weak marker (marker_rank < 0.25 = quantile of the marker level among the source's on-profiles) or disagreement.
# malecns_consensus = mode of the model nt over the type's cells (share given); nern2025_prediction = Nern 2025; agreement = joint
# flag; out_syn_raw = uncapped raw output synapses on the node set (-1 if the raw weights were unavailable); out_syn_W = |W|
# (sign-0 cells contribute 0).
malecns_type,n_cells,superclass,out_syn_W,out_syn_raw,nt_transcriptome,nt_secondary,co_monoamine,confidence,tier,source,source_name,qc,marker_rank,pool_mixed,pool_labels,sources_agreeing,sources_disagreeing,n_sources,malecns_consensus,malecns_consensus_share,n_unknown_cells,nern2025_prediction,nern2025_validated,agree_model,agree_nern,agreement,model_sign,transcriptome_sign,marker_scores
CB2772,2,cb_intrinsic,616,616,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB3228,3,cb_intrinsic,967,967,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB3383,1,cb_intrinsic,314,314,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB3447,5,cb_intrinsic,1779,1779,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CRZ01,2,cb_intrinsic,0,2805,acetylcholine,glutamate+gaba,,low,fuzzy,davie2018,Crz,pass,0.176,False,serotonin:4,davie2018,,2,serotonin,0.5,1,,,False,,transcriptome_vs_model_nern_unclear,0,1,acetylcholine=0.727*;gaba=0.65*;glutamate=0.723*;histamine=0;dopamine=0;octopamine=0;serotonin=0
CRZ02,2,cb_intrinsic,0,2489,acetylcholine,glutamate+gaba,,low,fuzzy,davie2018,Crz,pass,0.176,False,serotonin:4,davie2018,,2,serotonin,1.0,0,,,False,,transcriptome_vs_model_nern_unclear,0,1,acetylcholine=0.727*;gaba=0.65*;glutamate=0.723*;histamine=0;dopamine=0;octopamine=0;serotonin=0
DA1_lPN,13,cb_intrinsic,55730,55730,acetylcholine,,,medium,fuzzy,davie2018,lPN,pass,0.922,False,acetylcholine:67,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=14.3*;gaba=0;glutamate=0;histamine=0;dopamine=0;octopamine=0;serotonin=0
DA1_vPN,2,cb_intrinsic,3815,3815,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DA2_lPN,10,cb_intrinsic,15054,15054,acetylcholine,,,medium,fuzzy,davie2018,lPN,pass,0.922,False,acetylcholine:67,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=14.3*;gaba=0;glutamate=0;histamine=0;dopamine=0;octopamine=0;serotonin=0
DA3_adPN,4,cb_intrinsic,6527,6527,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DA4l_adPN,2,cb_intrinsic,12487,12487,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DA4m_adPN,2,cb_intrinsic,13573,13573,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DC1_adPN,2,cb_intrinsic,34250,34250,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DC2_adPN,4,cb_intrinsic,22141,22141,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DC3_adPN,6,cb_intrinsic,22417,22417,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DC4_adPN,2,cb_intrinsic,11711,11711,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DC4_vPN,2,cb_intrinsic,639,639,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DL1_adPN,4,cb_intrinsic,26289,26289,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DL2d_adPN,9,cb_intrinsic,22867,22867,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DL2d_vPN,4,cb_intrinsic,1962,1962,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DL2v_adPN,8,cb_intrinsic,28896,28896,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DL3_lPN,11,cb_intrinsic,19855,19855,acetylcholine,,,medium,fuzzy,davie2018,lPN,pass,0.922,False,acetylcholine:67,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=14.3*;gaba=0;glutamate=0;histamine=0;dopamine=0;octopamine=0;serotonin=0
DL4_adPN,2,cb_intrinsic,10321,10321,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DL5_adPN,2,cb_intrinsic,21992,21992,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DM1_lPN,2,cb_intrinsic,47339,47339,acetylcholine,,,medium,fuzzy,davie2018,lPN,pass,0.922,False,acetylcholine:67,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=14.3*;gaba=0;glutamate=0;histamine=0;dopamine=0;octopamine=0;serotonin=0
DM2_lPN,4,cb_intrinsic,37477,37477,acetylcholine,,,medium,fuzzy,davie2018,lPN,pass,0.922,False,acetylcholine:67,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=14.3*;gaba=0;glutamate=0;histamine=0;dopamine=0;octopamine=0;serotonin=0
DM3_adPN,2,cb_intrinsic,18385,18385,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DM3_vPN,2,cb_intrinsic,1022,1022,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DM4_adPN,2,cb_intrinsic,32052,32052,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DM4_vPN,2,cb_intrinsic,1406,1406,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DM5_lPN,7,cb_intrinsic,16621,16621,acetylcholine,,,medium,fuzzy,davie2018,lPN,pass,0.922,False,acetylcholine:67,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=14.3*;gaba=0;glutamate=0;histamine=0;dopamine=0;octopamine=0;serotonin=0
DM6_adPN,7,cb_intrinsic,24611,24611,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DN1a,4,cb_intrinsic,4714,4714,glutamate,,,low,fuzzy,davie2018,DN1,pass,0.97,False,glutamate:16,davie2018,,1,glutamate,1.0,0,unclear,,True,,transcriptome_model_agree_nern_unclear,-1,-1,acetylcholine=0.0356;gaba=0;glutamate=149*;histamine=0;dopamine=0;octopamine=0.213;serotonin=0
DN1pA,8,cb_intrinsic,4100,4100,glutamate,,,low,fuzzy,davie2018,DN1,pass,0.97,False,glutamate:16,davie2018,,1,glutamate,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,-1,-1,acetylcholine=0.0356;gaba=0;glutamate=149*;histamine=0;dopamine=0;octopamine=0.213;serotonin=0
DN1pB,4,cb_intrinsic,4612,4612,glutamate,,,low,fuzzy,davie2018,DN1,pass,0.97,False,glutamate:16,davie2018,,1,glutamate,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,-1,-1,acetylcholine=0.0356;gaba=0;glutamate=149*;histamine=0;dopamine=0;octopamine=0.213;serotonin=0
DP1l_adPN,2,cb_intrinsic,33050,33050,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DP1l_vPN,3,cb_intrinsic,1431,1431,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DP1m_adPN,2,cb_intrinsic,53803,53803,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
DP1m_vPN,4,cb_intrinsic,2470,2470,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
DSKMP3,4,cb_intrinsic,0,4873,gaba,acetylcholine,octopamine+dopamine+serotonin,low,class,davis2020,Dsk,suboptimal_only,0.667,False,,davis2020,,1,serotonin,1.0,0,,,False,,transcriptome_vs_model_nern_unclear,0,-1,acetylcholine=265*;gaba=303*;glutamate=65.6*;histamine=7.86;dopamine=24.6*;octopamine=43.2*;serotonin=15.8*
D_adPN,6,cb_intrinsic,21629,21629,acetylcholine,,,medium,fuzzy,davie2018,adPN,pass,0.765,False,acetylcholine:152,davie2018;fca2022,,2,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=9.59*;gaba=0.108;glutamate=0.137;histamine=0;dopamine=0;octopamine=0;serotonin=0
Delta7,42,cb_intrinsic,94826,94826,glutamate,,,medium,alias,davis2020,PB_1,pass,0.972,False,,davis2020,,1,glutamate,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,-1,-1,acetylcholine=20.8;gaba=6.04;glutamate=4.11e+03*;histamine=2.09;dopamine=0.58;octopamine=2.62;serotonin=0.33
Dm1,80,ol_intrinsic,156748,156748,glutamate,,,high,exact,davis2020,Dm1,pass,0.722,False,,davis2020;kurmangaliyev2020;ozel2021,,3,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=58.8;gaba=23.7;glutamate=1.14e+03*;histamine=4.86;dopamine=2.56;octopamine=4.29;serotonin=3.33
Dm10,626,ol_intrinsic,141680,141680,gaba,,,high,exact,davis2020,Dm10,pass,0.889,False,,davis2020;fca2022;kurmangaliyev2020;ozel2021,,4,gaba,1.0,0,gaba,gaba,True,True,all_agree,-1,-1,acetylcholine=4.05;gaba=2.04e+03*;glutamate=4.72;histamine=0.69;dopamine=0.08;octopamine=7.04;serotonin=0.34
Dm11,158,ol_intrinsic,46109,46109,glutamate,,,high,exact,davis2020,Dm11,pass,0.806,False,,davie2018;davis2020;fca2022;kurmangaliyev2020;ozel2021,,5,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=39.1;gaba=13.8;glutamate=1.35e+03*;histamine=1.22;dopamine=0.87;octopamine=8.22;serotonin=1.06
Dm12,276,ol_intrinsic,233792,233792,glutamate,,,high,exact,davis2020,Dm12,pass,0.75,False,,davis2020;fca2022;kurmangaliyev2020;ozel2021,,4,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=38.5;gaba=18.4;glutamate=1.18e+03*;histamine=7.49;dopamine=3.21;octopamine=5.36;serotonin=2.88
Dm2,1452,ol_intrinsic,449192,449192,acetylcholine,,,high,exact,ozel2021,Dm2,pass,0.929,False,,kurmangaliyev2020;ozel2021,,2,acetylcholine,1.0,0,acetylcholine,,True,True,all_agree,1,1,acetylcholine=12*;gaba=2.84;glutamate=4.84;histamine=0;dopamine=0.0615;octopamine=0.00547;serotonin=0.00919
Dm3a,1204,ol_intrinsic,106540,106540,glutamate,,,medium,fuzzy,davis2020,Dm3,pass,0.778,False,glutamate:3128,davis2020;fca2022;kurmangaliyev2020;ozel2021,,4,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=10.5;gaba=7.02;glutamate=1.27e+03*;histamine=1.22;dopamine=1.16;octopamine=5.09;serotonin=1.05
Dm3b,1137,ol_intrinsic,99438,99438,glutamate,,,medium,fuzzy,davis2020,Dm3,pass,0.778,False,glutamate:3128,davis2020;fca2022;kurmangaliyev2020;ozel2021,,4,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=10.5;gaba=7.02;glutamate=1.27e+03*;histamine=1.22;dopamine=1.16;octopamine=5.09;serotonin=1.05
Dm3c,787,ol_intrinsic,91388,91388,glutamate,,,medium,fuzzy,davis2020,Dm3,pass,0.778,False,glutamate:3128,davis2020;fca2022;kurmangaliyev2020;ozel2021,,4,glutamate,1.0,0,glutamate,,True,True,all_agree,-1,-1,acetylcholine=10.5;gaba=7.02;glutamate=1.27e+03*;histamine=1.22;dopamine=1.16;octopamine=5.09;serotonin=1.05
Dm4,99,ol_intrinsic,129535,129535,glutamate,,,high,exact,davis2020,Dm4,pass,1.0,False,,davis2020;kurmangaliyev2020;ozel2021,,3,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=25.9;gaba=10.4;glutamate=4.29e+03*;histamine=3.18;dopamine=2.6;octopamine=6.23;serotonin=0.1
Dm8a,572,ol_intrinsic,162710,162710,glutamate,,,medium,fuzzy,davis2020,Dm8,pass,0.917,False,glutamate:1104,davie2018;davis2020;fca2022;kurmangaliyev2020;ozel2021,,5,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=16.5;gaba=6.83;glutamate=2.19e+03*;histamine=1.09;dopamine=0.9;octopamine=3.82;serotonin=0.06
Dm8b,532,ol_intrinsic,114276,114276,glutamate,,,medium,fuzzy,davis2020,Dm8,pass,0.917,False,glutamate:1104,davie2018;davis2020;fca2022;kurmangaliyev2020;ozel2021,,5,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=16.5;gaba=6.83;glutamate=2.19e+03*;histamine=1.09;dopamine=0.9;octopamine=3.82;serotonin=0.06
Dm9,273,ol_intrinsic,247828,247828,glutamate,,,high,exact,davis2020,Dm9,pass,0.667,False,,davie2018;davis2020;fca2022;kurmangaliyev2020;ozel2021,,5,glutamate,1.0,0,glutamate,glutamate,True,True,all_agree,-1,-1,acetylcholine=26.1;gaba=35.4;glutamate=1.06e+03*;histamine=3.07;dopamine=0.55;octopamine=5.14;serotonin=0.96
EPG,46,cb_intrinsic,114854,114854,acetylcholine,,,medium,alias,davis2020,PB_2,pass,0.667,False,,davis2020,,1,acetylcholine,1.0,0,,,True,,transcriptome_model_agree_nern_unclear,1,1,acetylcholine=877*;gaba=12.9;glutamate=29.9;histamine=2.32;dopamine=0.27;octopamine=11.5;serotonin=0
